"Date","Total_FRP"
2001-02-21,3.9
2001-05-11,63.8
2001-07-15,40.4
2001-08-20,8.4
2001-08-22,43.9
2001-08-23,16.4
2001-08-25,98.8
2001-08-26,111.6
2001-08-27,225.6
2001-08-29,201.8
2001-08-30,53.8
2002-07-11,50
2002-07-14,62.5
2002-07-16,7.2
2002-07-27,189.2
2002-07-29,23.6
2002-08-01,11.7
2002-08-05,5.5
2002-08-14,998.8
2002-08-15,608.5
2002-08-16,46.6
2002-08-17,253.9
2002-08-18,50.6
2002-08-19,1418.1
2002-08-20,1082.1
2002-08-21,1246.5
2002-08-24,21.5
2002-08-25,34.5
2002-08-26,133.1
2002-08-28,680
2002-08-29,317.3
2002-08-30,914.3
2002-08-31,145.5
2002-09-01,1595.8
2002-09-02,1439.6
2002-09-04,1479.6
2002-09-05,351
2002-09-06,97.3
2002-09-07,266.7
2002-09-08,103.5
2002-09-09,29.9
2002-09-10,858.6
2002-09-11,3009.6
2002-09-12,310.1
2002-09-13,64.6
2002-09-15,1621.3
2002-09-16,426.8
2002-09-17,1486.8
2002-09-18,462.9
2002-09-19,68.9
2002-09-20,540.2
2002-09-21,16.5
2002-09-22,1042.9
2002-09-23,377.8
2002-09-24,357.4
2002-09-29,7.7
2002-10-01,16
2002-10-08,18.9
2002-10-09,129.1
2002-10-10,163.2
2002-10-11,12.7
2002-10-12,391.5
2002-10-13,150.5
2002-10-20,18.2
2002-10-24,65.2
2003-05-20,8
2003-05-30,28
2003-06-12,9.6
2003-06-17,92.5
2003-06-19,14.5
2003-07-05,5.9
2003-07-21,53.4
2003-07-23,59.2
2003-07-28,19.6
2003-07-30,6.3
2003-08-04,116.1
2003-08-06,29.8
2003-08-10,209.8
2003-08-11,111.8
2003-08-13,135.9
2003-08-20,543.3
2003-08-24,309.3
2003-08-25,27.2
2003-08-26,109.1
2003-08-29,11.4
2003-08-30,378.7
2003-08-31,407.4
2003-09-01,525.6
2003-09-02,389.6
2003-09-04,40.3
2003-09-05,21.7
2003-09-07,159.8
2003-09-09,20.7
2003-09-12,14.6
2003-09-18,29.5
2003-09-21,9.1
2003-09-28,15.9
2003-09-30,11.4
2003-10-11,11.1
2004-04-18,8.6
2004-06-05,12
2004-06-19,41.4
2004-06-21,6.7
2004-06-23,4.6
2004-06-30,71.9
2004-07-02,8.2
2004-08-04,12.9
2004-08-08,78.9
2004-08-10,60.5
2004-08-12,131.9
2004-08-13,174.5
2004-08-15,231.8
2004-08-17,1825.6
2004-08-19,1113.6
2004-08-20,948.6
2004-08-21,766.2
2004-08-22,1157.1
2004-08-23,100.4
2004-08-24,1072.1
2004-08-26,421.4
2004-08-27,558.8
2004-08-28,65.7
2004-08-29,534.6
2004-08-30,859.9
2004-08-31,165.6
2004-09-01,9.1
2004-09-02,394.7
2004-09-03,795.7
2004-09-04,267.7
2004-09-05,60.6
2004-09-06,353.2
2004-09-07,327.6
2004-09-09,18.5
2004-09-13,29.1
2004-09-14,28.1
2004-09-18,4.6
2004-09-23,28.6
2004-09-25,8.8
2004-09-26,27.8
2004-09-27,53.2
2004-09-28,25.9
2004-10-04,20.2
2004-10-05,83.6
2004-10-09,28.9
2004-10-16,15.5
2005-03-11,10.7
2005-03-16,53.7
2005-07-01,5.8
2005-07-26,16.7
2005-07-28,29.5
2005-08-11,73.4
2005-08-16,60.9
2005-08-17,34.7
2005-08-23,7.3
2005-08-27,141.7
2005-08-29,50.4
2005-08-30,37.6
2005-08-31,167.1
2005-09-01,72.5
2005-09-12,7.5
2005-09-14,217.7
2005-09-15,162
2005-09-17,16.8
2005-09-19,58.1
2005-09-23,68.2
2006-01-27,5.8
2006-02-03,27.3
2006-03-09,21.1
2006-03-16,5
2006-03-23,18.5
2006-03-26,28.9
2006-03-30,45.1
2006-04-10,14.5
2006-06-18,6
2006-06-29,14.4
2006-07-08,10.8
2006-07-09,46.3
2006-07-11,31
2006-07-15,17.4
2006-07-18,27.2
