"station","stationID","date","T_min","T_max","T_avg","humidity","precip","sunshine","flag","wind_speed_ms","psun","sunshine_norm","radiation","dewpoint","ET0","aet","deficit","soil"
"Stasiun Meteorologi Rahadi Oesman","96615",1986-01-01,24.3,30.6,26.9,89,9.6,4.7,NA,0.6430555,0.5875,4.7,189.13599,22.1,3.39026538479493,3.39026538479493,0,122
"Stasiun Meteorologi Rahadi Oesman","96615",1986-01-02,24.2,30,26.5,90,5.8,5.2,NA,0.72022216,0.65,5.2,209.25684,22.2,3.65666405838726,3.65666405838726,0,122
"Stasiun Meteorologi Rahadi Oesman","96615",1986-01-03,24.4,29.2,26.2,91,2,3.5,NA,0.5144444,0.4375,3.5,140.84595,22.6,2.59419702049959,2.59419702049959,-5.32907051820075e-15,121.4058029795
"Stasiun Meteorologi Rahadi Oesman","96615",1986-01-04,23.8,29.4,26.3,91,8.6,4.3,NA,0.5144444,0.5375,4.3,173.03931,22,3.07365330804495,3.07365330804495,0,122
"Stasiun Meteorologi Rahadi Oesman","96615",1986-01-05,24,29.6,26.3,90,5.4,4.1,NA,1.0288888,0.5125,4.1,164.99097,22,2.97853724866506,2.97853724866506,0,122
"Stasiun Meteorologi Rahadi Oesman","96615",1986-01-06,24,29.6,26.4,89,15.5,7.4,NA,0.5144444,0.925,7.4,297.78858,21.8,4.98016683924884,4.98016683924884,0,122
"Stasiun Meteorologi Rahadi Oesman","96615",1986-01-07,24.2,30.4,26.5,96,18.8,3,NA,1.0288888,0.375,3,120.7251,23.4,2.24770552665375,2.24770552665375,0,122
"Stasiun Meteorologi Rahadi Oesman","96615",1986-01-08,23.4,30.8,26,95,0.6,4.6,NA,1.0288888,0.575,4.6,185.11182,22.4,3.24506660209607,3.24506660209608,-6.66133814775094e-15,119.354933397904
"Stasiun Meteorologi Rahadi Oesman","96615",1986-01-09,23.8,29.7,25.2,96,30.7,2.2,NA,0.5144444,0.275,2.2,88.53174,23,1.75745421885756,1.75745421885756,0,122
"Stasiun Meteorologi Rahadi Oesman","96615",1986-01-10,23.8,27.2,24.7,95,49.9,0,NA,1.60763875,0,0,0,22.8,0.497483193542282,0.497483193542282,0,122
"Stasiun Meteorologi Rahadi Oesman","96615",1986-01-11,24,28,25.2,96,26.8,0,NA,1.86486095,0,0,0,23.2,0.466217712204034,0.466217712204034,0,122
"Stasiun Meteorologi Rahadi Oesman","96615",1986-01-12,24.2,27.6,26.1,88,13.7,0,NA,2.572222,0,0,0,21.8,0.910561594351223,0.910561594351223,0,122
"Stasiun Meteorologi Rahadi Oesman","96615",1986-01-13,24.6,29.8,26.8,90,0,7.8,NA,2.0577776,0.975,7.8,313.88526,22.6,5.11695197728687,5.11695197728687,0,116.883048022713
"Stasiun Meteorologi Rahadi Oesman","96615",1986-01-14,25.6,29.2,27.3,88,0,4.5,NA,2.572222,0.5625,4.5,181.08765,23.2,3.35351758640605,3.35351758640606,-6.66133814775094e-15,113.529530436307
"Stasiun Meteorologi Rahadi Oesman","96615",1986-01-15,26,29.6,27.4,88,0,4.2,NA,2.572222,0.525,4.2,169.01514,23.6,3.22607525306623,3.22607525306623,4.44089209850063e-15,110.303455183241
"Stasiun Meteorologi Rahadi Oesman","96615",1986-01-16,26.2,28.5,27.1,88,0,0,NA,2.572222,0,0,0,23.8,0.907977645689864,0.907977645689868,-4.66293670342566e-15,109.395477537551
"Stasiun Meteorologi Rahadi Oesman","96615",1986-01-17,25.8,30.4,27.1,88,1.4,7.4,NA,2.0577776,0.925,7.4,297.78858,23.4,5.0876311963753,5.08763119637531,-4.44089209850063e-15,105.707846341176
"Stasiun Meteorologi Rahadi Oesman","96615",1986-01-18,24.4,28.6,26.7,88,0,2.1,NA,2.0577776,0.2625,2.1,84.50757,22,1.96625159430915,1.96625159430916,-6.66133814775094e-15,103.741594746867
"Stasiun Meteorologi Rahadi Oesman","96615",1986-01-19,25.4,29.3,26.8,87,0,5.4,NA,2.0577776,0.675,5.4,217.30518,22.8,3.88635220825577,3.88635220825577,-8.88178419700125e-16,99.8552425386107
"Stasiun Meteorologi Rahadi Oesman","96615",1986-01-20,24.8,29.6,26.9,86,0,8,NA,2.572222,1,8,321.9336,22,5.33168790669461,5.33168790669461,-3.5527136788005e-15,94.5235546319161
"Stasiun Meteorologi Rahadi Oesman","96615",1986-01-21,25.6,29.6,27,88,0,7.7,NA,1.5433332,0.9625,7.7,309.86109,23.2,5.23924719636499,5.239247196365,-5.32907051820075e-15,89.2843074355511
"Stasiun Meteorologi Rahadi Oesman","96615",1986-01-22,25.6,28.4,26.6,88,0,3.6,NA,2.572222,0.45,3.6,144.87012,23.2,2.85162367923246,2.85162367923246,-8.88178419700125e-16,86.4326837563187
"Stasiun Meteorologi Rahadi Oesman","96615",1986-01-23,25.8,29.6,27.2,88,0,6,NA,2.0577776,0.75,6,241.4502,23.4,4.24954356254402,4.24954356254402,4.44089209850063e-15,82.1831401937746
"Stasiun Meteorologi Rahadi Oesman","96615",1986-01-24,25.4,29.8,26.9,89,0,8,NA,2.0577776,1,8,321.9336,23.2,5.36584852055851,5.30623120512168,0.0596173154368351,76.876908988653
"Stasiun Meteorologi Rahadi Oesman","96615",1986-01-25,25.6,29.2,26.8,90,0,6.6,NA,2.0577776,0.825,6.6,265.59522,23.6,4.50576623223265,4.43882685422186,0.0669393780107876,72.4380821344311
"Stasiun Meteorologi Rahadi Oesman","96615",1986-01-26,25.6,29.8,27,88,0,8,NA,2.0577776,1,8,321.9336,23.2,5.41539593540912,5.31280809606695,0.102587839342173,67.1252740383642
"Stasiun Meteorologi Rahadi Oesman","96615",1986-01-27,25.4,30,27.2,88,0.144444444444444,5.9,NA,2.0577776,0.7375,5.9,237.42603,23,4.21436055483493,4.11123019583712,0.103130358997804,63.1584882869715
"Stasiun Meteorologi Rahadi Oesman","96615",1986-01-28,25.2,30.2,27.3,89,1.3,6.5,NA,2.0577776,0.8125,6.5,261.57105,23,4.54002434331992,4.43800626437326,0.102018078946656,60.0204820225982
"Stasiun Meteorologi Rahadi Oesman","96615",1986-01-29,26,30,26.9,92,0,7.6,NA,1.5433332,0.95,7.6,305.83692,24.4,5.21988803676106,5.02471942601758,0.195168610743488,54.9957625965807
"Stasiun Meteorologi Rahadi Oesman","96615",1986-01-30,26,30,27.5,86,0,6.7,NA,1.5433332,0.8375,6.7,269.61939,23.2,4.78340134491149,4.54791245017541,0.235488894736078,50.4478501464052
