"station","stationID","date","T_min","T_max","T_avg","humidity","precip","sunshine","flag","wind_speed_ms","psun","sunshine_norm","radiation","dewpoint","ET0","aet50","deficit50","soil50","aet80","deficit80","aet100","deficit100","soil100","aet122","deficit122","soil122"
"Stasiun Meteorologi Rahadi Oesman","96615",2000-11-01,24.2,31.8,27.6,86,15.2,7.6,NA,1.0288888,0.95,7.6,305.83692,21.4,5.3766963028669,5.3766963028669,0,50,5.3766963028669,0,5.3766963028669,0,100,5.3766963028669,0,122
"Stasiun Meteorologi Rahadi Oesman","96615",2000-11-02,23,30.8,26.7,86,1.4,3.4,NA,0.5144444,0.425,3.4,136.82178,20.2,2.64386015857976,2.64386015857976,-4.44089209850063e-16,48.7561398414202,2.64386015857976,-4.44089209850063e-16,2.64386015857976,-4.44089209850063e-16,98.7561398414202,2.64386015857976,-4.44089209850063e-16,120.75613984142
"Stasiun Meteorologi Rahadi Oesman","96615",2000-11-03,23.8,28.8,24.9,95,18.5,0.8,NA,0.734920571428571,0.1,0.8,32.19336,22.8,0.915886720009012,0.915886720009012,0,50,0.915886720009012,0,0.915886720009012,0,100,0.915886720009012,0,122
"Stasiun Meteorologi Rahadi Oesman","96615",2000-11-04,24,29.6,25.7,95,1.8,0.5,NA,0.5144444,0.0625,0.5,20.12085,23,0.713411833663419,0.713411833663419,0,50,0.713411833663419,0,0.713411833663419,0,100,0.713411833663419,0,122
"Stasiun Meteorologi Rahadi Oesman","96615",2000-11-05,24.4,31,27.2,86,13.9,5.4,NA,1.0288888,0.675,5.4,217.30518,21.6,3.95764808064391,3.95764808064391,0,50,3.95764808064391,0,3.95764808064391,0,100,3.95764808064391,0,122
"Stasiun Meteorologi Rahadi Oesman","96615",2000-11-06,24,31.2,26.6,84,0,6,NA,0.5144444,0.75,6,241.4502,20.8,4.30356218794612,4.30356218794612,8.88178419700125e-16,45.6964378120539,4.30356218794613,-6.21724893790088e-15,4.30356218794613,-6.21724893790088e-15,95.6964378120539,4.30356218794613,-6.21724893790088e-15,117.696437812054
"Stasiun Meteorologi Rahadi Oesman","96615",2000-11-07,24,31.4,27.5,87,1.2,3.4,NA,0.808412628571429,0.425,3.4,136.82178,21.4,2.6967317697055,2.69673176970551,-1.33226762955019e-15,44.1997060423484,2.69673176970551,-1.33226762955019e-15,2.69673176970551,-1.33226762955019e-15,94.1997060423484,2.69673176970551,-1.33226762955019e-15,116.199706042348
"Stasiun Meteorologi Rahadi Oesman","96615",2000-11-08,25,31.6,27.8,84,0,7,NA,1.0288888,0.875,7,281.6919,21.8,5.01448683051042,5.01448683051041,2.66453525910038e-15,39.185219211838,5.01448683051042,-4.44089209850063e-15,5.01448683051042,-4.44089209850063e-15,89.1852192118379,5.01448683051042,-4.44089209850063e-15,111.185219211838
"Stasiun Meteorologi Rahadi Oesman","96615",2000-11-09,24.8,31.2,27.6,87,1.7,4.1,NA,1.0288888,0.5125,4.1,164.99097,22.2,3.15829084226043,3.15829084226043,4.44089209850063e-16,37.7269283695775,3.15829084226043,4.44089209850063e-16,3.15829084226043,4.44089209850063e-16,87.7269283695775,3.15829084226043,4.44089209850063e-16,109.726928369578
"Stasiun Meteorologi Rahadi Oesman","96615",2000-11-10,24,30.2,27,88,117.6,3.1,NA,1.0288888,0.3875,3.1,124.74927,21.6,2.47550573513837,2.47550573513837,0,50,2.47550573513837,0,2.47550573513837,0,100,2.47550573513837,0,122
"Stasiun Meteorologi Rahadi Oesman","96615",2000-11-11,23.2,31.4,26.8,84,0,6.6,NA,0.808412628571429,0.825,6.6,265.59522,20,4.64625513571899,4.64625513571899,0,45.353744864281,4.64625513571899,0,4.64625513571899,0,95.353744864281,4.64625513571899,0,117.353744864281
"Stasiun Meteorologi Rahadi Oesman","96615",2000-11-12,23.4,31,27.4,82,2.6,5,NA,0.5144444,0.625,5,201.2085,19.8,3.63559540691137,3.63559540691137,-3.5527136788005e-15,44.3181494573696,3.63559540691137,-3.5527136788005e-15,3.63559540691137,-3.5527136788005e-15,94.3181494573696,3.63559540691137,-3.5527136788005e-15,116.31814945737
