"YYYYMMDD" "HHMM" "sat" "lat" "lon" "T21" "T31" "sample" "FRP" "conf" "type"
20010221 328 "TRUE" -1.981 110.139 302.3 278 902 3.9 37 0
20010320 308 "TRUE" -2.158 110.345 312.1 287.3 433 8.9 40 0
20010511 243 "TRUE" -1.812 109.98 315.4 293.4 48 53 69 0
20010511 1503 "TRUE" -1.808 109.99 306.9 291.5 1077 10.8 70 0
20010715 324 "TRUE" -1.945 110.125 314.9 295.8 899 8.8 71 0
20010715 324 "TRUE" -1.946 110.135 332.4 296.4 900 31.6 87 0
20010818 311 "TRUE" -1.679 110.398 315.9 297.5 606 7.9 71 0
20010818 311 "TRUE" -1.68 110.407 323.4 297.4 607 15.2 79 0
20010820 259 "TRUE" -1.374 110.209 315.2 296.9 293 12.3 66 0
20010820 259 "TRUE" -1.487 110.278 311.7 297.2 300 8 57 0
20010820 259 "TRUE" -1.904 110.398 320.4 298.6 316 16.2 73 0
20010820 1519 "TRUE" -2.173 110.311 306.5 293.3 593 5.5 67 0
20010820 1519 "TRUE" -1.913 110.394 304 292.6 578 4.6 56 0
20010820 1519 "TRUE" -1.833 110.377 302.9 292.9 578 3.8 50 0
20010821 342 "TRUE" -1.464 110.304 309.4 285.4 1233 21 63 0
20010822 246 "TRUE" -1.576 110.348 313 291.8 122 25.7 54 0
20010822 247 "TRUE" -1.787 110.117 318.7 292.4 114 43.9 71 0
20010823 329 "TRUE" -1.376 110.15 321.7 290.2 1035 25.2 80 0
20010823 329 "TRUE" -1.377 110.162 316 289 1036 16.6 74 0
20010823 329 "TRUE" -1.454 110.317 310.8 291.4 1049 8.9 42 0
20010823 329 "TRUE" -1.652 110.232 316.1 292 1046 16.4 68 0
20010825 317 "TRUE" -1.498 110.318 318.3 294.6 759 8.8 64 0
20010825 317 "TRUE" -1.725 110.36 320.3 299.2 769 10.2 74 0
20010825 317 "TRUE" -1.723 110.157 319.5 298.2 747 11.3 73 0
20010825 317 "TRUE" -1.73 110.147 312.8 297.4 746 5.3 23 0
20010825 317 "TRUE" -1.839 110.384 323.8 297.8 774 12.9 59 0
20010825 317 "TRUE" -1.899 110.102 324.3 299.1 745 13.9 77 0
20010825 317 "TRUE" -1.9 110.111 331.3 298.6 746 23 84 0
20010825 317 "TRUE" -2.125 110.39 322.8 297 781 14.3 76 0
20010825 317 "TRUE" -2.126 110.399 327.2 298.1 782 19.3 81 0
20010825 1538 "TRUE" -1.891 110.106 305.3 293.3 209 11.5 64 0
20010825 1538 "TRUE" -1.735 110.087 304.4 293.2 208 10.7 60 0
20010826 1442 "TRUE" -1.859 110.393 302.5 290.7 1289 19.3 42 0
20010826 1442 "TRUE" -1.898 110.101 300 286.7 1299 15.1 8 0
20010826 1442 "TRUE" -1.861 110.387 304.6 290.7 1289 27.2 61 0
20010826 1442 "TRUE" -1.733 110.097 302.1 289.8 1298 21.3 46 0
20010826 1442 "TRUE" -1.737 110.091 304.2 289.8 1298 28.7 59 0
20010826 1442 "TRUE" -1.477 110.31 304.5 289.6 1289 25.4 60 0
20010826 1442 "TRUE" -1.481 110.282 304.4 288 1290 25.4 60 0
20010827 305 "TRUE" -1.476 110.296 350.5 301.3 431 66.3 95 0
20010827 305 "TRUE" -1.48 110.327 327.6 299.9 434 19.6 74 0
20010827 305 "TRUE" -1.479 110.289 339.4 299.2 431 41.5 90 0
20010827 305 "TRUE" -1.48 110.299 347.1 301.9 432 58.1 94 0
20010827 305 "TRUE" -1.485 110.33 327.8 299.5 435 21.7 81 0
20010827 305 "TRUE" -1.491 110.308 320.2 300.1 433 11.5 56 0
20010827 305 "TRUE" -1.73 110.145 317.1 298.1 422 9.8 34 0
20010827 305 "TRUE" -1.734 110.085 351.7 301.4 417 75.8 96 0
