"YYYYMMDD" "HHMM" "sat" "lat" "lon" "T21" "T31" "sample" "FRP" "conf" "type"
20010511 243 "TRUE" -1.812 109.98 315.4 293.4 48 53 69 0
20010511 1503 "TRUE" -1.808 109.99 306.9 291.5 1077 10.8 70 0
20030820 620 "A" -1.78 110 328.2 299.3 479 20.3 62 0
20030820 620 "A" -1.774 110.004 322.9 299.2 478 14.7 71 0
20040826 557 "A" -1.821 109.975 316.9 300.4 1081 11.8 59 0
20040826 1820 "A" -1.778 109.999 304.4 283 877 7.9 60 0
20060814 611 "A" -1.827 109.996 328.3 300.6 795 19.3 76 0
20060814 611 "A" -1.828 109.987 322.2 301.1 796 11.4 73 0
20080218 310 "T" -1.802 109.966 316.5 298.7 711 6.9 53 0
20080618 304 "T" -1.802 109.967 313.4 298.2 547 5.4 47 0
20110901 1809 "A" -1.797 109.971 305.8 291.9 541 5.6 66 0
20110911 328 "T" -1.795 109.939 345.5 292.3 1121 102.2 88 0
20110911 328 "T" -1.797 109.954 313.9 292.6 1122 14.2 56 0
20110911 328 "T" -1.792 109.933 330.5 291.9 1121 49.9 74 0
20110911 328 "T" -1.794 109.948 326.5 291.9 1122 39.5 81 0
20160505 316 "T" -1.848 109.978 311.6 289.8 876 5 0 0
