"","YYYYMMDD","HHMM","sat","lat","lon","T21","T31","sample","FRP","conf","type","year","CLUSTER_ID","coords.x1","coords.x2","freq","Duplicate"
"112",2002-08-17,"622","A",-1.69,110.039,316,296.4,474,7.7,48,"0","2002",67262,393105.541268529,9813176.60786281,2,"Unique"
"6461",2015-07-13,"618","A",-1.69,110.039,325.1,300.6,625,14.1,73,"0","2015",67262,393105.541268529,9813176.60786281,2,"Unique"
"3482",2009-09-03,"639","A",-1.79,110.041,319.8,299.8,219,19.9,61,"0","2009",67343,393333.646032343,9802122.01751306,2,"Not Unique"
"3676",2009-09-07,"615","A",-1.79,110.041,319.3,302.8,794,6.9,57,"0","2009",67343,393333.646032343,9802122.01751306,2,"Not Unique"
"1151",2004-08-20,"634","A",-1.684,110.043,316.4,300.4,219,14.1,43,"0","2004",67434,393550.186870543,9813840.10880218,2,"Not Unique"
"1357",2004-09-02,"309","T",-1.684,110.043,321,303.3,721,10.1,50,"0","2004",67434,393550.186870543,9813840.10880218,2,"Not Unique"
"3323",2009-08-24,"304","T",-1.736,110.045,314.7,298.5,550,7,57,"0","2009",67506,393775.532684446,9808091.78226457,2,"Unique"
"7776",2015-10-21,"258","T",-1.736,110.045,323.4,307.1,398,11.9,34,"0","2015",67506,393775.532684446,9808091.78226457,2,"Unique"
"1451",2005-07-28,"555","A",-1.782,110.048,323.5,294.3,1074,29.5,79,"0","2005",67641,394111.846805726,9803006.79780468,2,"Unique"
"2094",2006-09-03,"547","A",-1.782,110.048,314.6,296.6,1245,22.6,23,"0","2006",67641,394111.846805726,9803006.79780468,2,"Unique"
"4142",2009-09-30,"621","A",-1.677,110.051,351.3,301.9,621,51.9,96,"0","2009",67776,394439.755693432,9814614.37013494,2,"Unique"
"6648",2015-08-22,"1455","T",-1.677,110.051,311.2,293.8,1068,16.1,82,"0","2015",67776,394439.755693432,9814614.37013494,2,"Unique"
"5581",2014-09-07,"304","T",-1.654,110.054,328.9,301,552,19.3,82,"0","2014",67922,394772.265389922,9817157.10116681,2,"Unique"
"6764",2015-09-01,"311","T",-1.654,110.054,318.9,303.3,723,7.5,66,"0","2015",67922,394772.265389922,9817157.10116681,2,"Unique"
"1066",2004-08-17,"603","A",-1.781,110.056,321.5,298.3,948,15.1,66,"0","2004",68001,395001.687842897,9803117.80228362,2,"Unique"
"1460",2005-08-27,"608","A",-1.781,110.056,311.6,293.5,790,5.5,47,"0","2005",68001,395001.687842897,9803117.80228362,2,"Unique"
"958",2003-09-07,"315","T",-1.879,110.057,333.4,301.3,875,29.1,86,"0","2003",68045,395118.619459176,9792284.29303883,2,"Unique"
"5458",2014-03-09,"636","A",-1.879,110.057,330.8,297.4,225,45.5,84,"0","2014",68045,395118.619459176,9792284.29303883,2,"Unique"
"78",2002-08-14,"551","A",-1.569,110.057,338.6,287.4,1174,102.9,68,"0","2002",68059,395101.649365556,9826553.69941696,2,"Unique"
"585",2002-09-11,"615","A",-1.569,110.057,322.3,295.1,633,11.9,62,"0","2002",68059,395101.649365556,9826553.69941696,2,"Unique"
"6763",2015-09-01,"311","T",-1.627,110.058,322.9,302.6,723,10,43,"0","2015",68106,395215.838357497,9820142.06412173,3,"Not Unique"
"6806",2015-09-01,"1531","T",-1.627,110.058,303.6,293.5,215,7.6,26,"0","2015",68106,395215.838357497,9820142.06412173,3,"Not Unique"
"7402",2015-09-15,"618","A",-1.627,110.058,355,280.3,627,68.5,98,"0","2015",68106,395215.838357497,9820142.06412173,3,"Not Unique"
"108",2002-08-17,"622","A",-1.881,110.059,327,300.5,476,19.5,67,"0","2002",68146,395341.200661222,9792063.31979377,3,"Unique"
"1506",2006-03-30,"615","A",-1.881,110.059,339.4,302.4,627,32.9,89,"0","2006",68146,395341.200661222,9792063.31979377,3,"Unique"
"2102",2006-09-04,"630","A",-1.881,110.059,320.7,290.7,325,14.2,48,"0","2006",68146,395341.200661222,9792063.31979377,3,"Unique"
"4968",2012-09-26,"553","A",-1.839,110.065,320,294.8,1176,33.8,69,"0","2012",68483,396006.125895185,9796706.62623406,2,"Unique"
"5509",2014-08-06,"304","T",-1.839,110.065,318.3,295.8,551,9.7,51,"0","2014",68483,396006.125895185,9796706.62623406,2,"Unique"
"80",2002-08-14,"551","A",-1.538,110.065,305.8,282.2,1173,9.9,24,"0","2002",68501,395990.12465552,9829981.02580052,2,"Unique"
"1421",2004-09-07,"622","A",-1.538,110.065,328.7,302.4,463,21.1,81,"0","2004",68501,395990.12465552,9829981.02580052,2,"Unique"
"3165",2009-08-02,"639","A",-1.831,110.066,319,289.8,221,29.9,53,"0","2009",68562,396116.897518469,9797591.05496904,2,"Unique"
"4401",2011-08-26,"623","A",-1.831,110.066,342.1,306.5,471,42.3,91,"0","2011",68562,396116.897518469,9797591.05496904,2,"Unique"
"721",2002-09-19,"1455","T",-1.548,110.066,302.9,292.4,1065,5.3,18,"0","2002",68572,396101.860361176,9828875.61461437,2,"Unique"
"5808",2014-09-17,"636","A",-1.548,110.066,319,298.5,215,19.9,54,"0","2014",68572,396101.860361176,9828875.61461437,2,"Unique"
"4026",2009-09-28,"633","A",-1.628,110.068,340.1,305,322,50.2,69,"0","2009",68686,396328.346986347,9820032.03469814,2,"Unique"
"6310",2014-10-07,"612","A",-1.628,110.068,327.2,299.6,790,17.2,80,"0","2014",68686,396328.346986347,9820032.03469814,2,"Unique"
"4024",2009-09-28,"633","A",-1.638,110.069,340.9,304.5,322,51.2,49,"0","2009",68749,396440.10444543,9818926.62620016,2,"Unique"
"4819",2012-08-20,"1757","A",-1.638,110.069,304.1,289.5,276,10.1,59,"0","2012",68749,396440.10444543,9818926.62620016,2,"Unique"
"637",2002-09-15,"551","A",-1.546,110.07,331.7,296.9,1176,65.8,81,"0","2002",68808,396546.762753106,9829096.90191164,2,"Unique"
"3234",2009-08-06,"615","A",-1.546,110.07,316.7,301,793,6.5,34,"0","2009",68808,396546.762753106,9829096.90191164,2,"Unique"
"6531",2015-08-16,"605","A",-1.771,110.071,322.8,298.5,947,15.3,75,"0","2015",68857,396669.685779734,9804224.11083141,2,"Unique"
"7062",2015-09-08,"611","A",-1.771,110.071,335.9,303.9,797,25.9,84,"0","2015",68857,396669.685779734,9804224.11083141,2,"Unique"
"3933",2009-09-27,"251","T",-1.656,110.071,319.9,301.5,275,15.7,34,"0","2009",68863,396663.52168207,9816936.90250643,2,"Not Unique"
"4074",2009-09-29,"1500","T",-1.656,110.071,303.9,293,946,4.4,34,"0","2009",68863,396663.52168207,9816936.90250643,2,"Not Unique"
"508",2002-09-11,"323","T",-1.533,110.071,326.7,300.1,1024,24.6,52,"0","2002",68867,396657.386529626,9830534.04637166,2,"Unique"
"1275",2004-08-24,"610","A",-1.533,110.071,315.2,301.6,788,5.9,57,"0","2004",68867,396657.386529626,9830534.04637166,2,"Unique"
"63",2002-07-27,"604","A",-1.877,110.072,318.4,298.3,948,12.3,55,"0","2002",68921,396786.964487337,9792506.27870538,2,"Unique"
"5457",2014-03-09,"636","A",-1.877,110.072,329.3,297.4,224,41.5,82,"0","2014",68921,396786.964487337,9792506.27870538,2,"Unique"
"4943",2012-09-23,"1447","T",-1.791,110.072,301.3,287.5,1173,9.7,40,"0","2012",68923,396782.036057746,9802013.24533863,2,"Not Unique"
