"","p11","mid.date","tmin","tmax","tave","precip","humidity","sunshine","wind_vel","wind_dir","max_gust","max_gust_dir"
"1",1,1986-01-06 07:00:00,23.9909090909091,29.5,26.0181818181818,173.7,92.5454545454545,3.54545454545455,NA,"N ",6,NA
"2",2,1986-01-17 07:00:00,25.2909090909091,29.1454545454545,26.8909090909091,15.1,87.9090909090909,4.60909090909091,4.45454545454545,"NW",10,290
"3",3,1986-01-28 07:00:00,25.4545454545455,29.8727272727273,27.1454545454545,NA,87.1818181818182,6.96363636363636,3.72727272727273,"NW",10,300
"4",4,1986-02-08 07:00:00,23.4181818181818,30.3272727272727,26.5727272727273,32.89,88.9090909090909,7.05454545454545,2.72727272727273,"NW",8,320
"5",5,1986-02-19 07:00:00,24.2727272727273,30.3363636363636,26.9909090909091,38.5,87.1818181818182,6.34545454545455,2.72727272727273,"NW",8,250
"6",6,1986-03-02 07:00:00,23.0272727272727,30,25.8272727272727,106.4,92.4545454545455,4.56363636363636,1.8,"N ",NA,NA
"7",7,1986-03-13 07:00:00,23.6181818181818,29.5272727272727,25.8909090909091,165.22,92.2727272727273,3.25454545454545,NA,"N ",NA,NA
"8",8,1986-03-24 07:00:00,24.0090909090909,30.2727272727273,26.7181818181818,53.5,90.3636363636364,5.63636363636364,2,"W ",NA,NA
"9",9,1986-04-04 07:00:00,24.5454545454545,31.3,27.3636363636364,38.5,89.4545454545455,6.41818181818182,1.8,"N ",NA,NA
"10",10,1986-04-15 07:00:00,23.6909090909091,30.4,26.4909090909091,73.9,92,4.40909090909091,NA,"N ",NA,NA
"11",11,1986-04-26 07:00:00,24.2636363636364,31.2636363636364,27.0272727272727,191.73,92.1818181818182,5.25454545454545,1.875,"N ",NA,NA
"12",12,1986-05-07 07:00:00,24.0727272727273,31.2727272727273,27.0818181818182,82.2,88.7272727272727,4.83636363636364,2.1,"N ",NA,NA
"13",13,1986-05-18 07:00:00,24.3272727272727,32.4090909090909,27.6727272727273,39.82,90.1818181818182,7.30909090909091,3.09090909090909,"E ",NA,NA
"14",14,1986-05-29 07:00:00,23.8727272727273,31.9181818181818,26.8181818181818,NA,90.2727272727273,5.44545454545455,2.6,"E ",NA,NA
"15",15,1986-06-09 07:00:00,23.5909090909091,31.6454545454545,26.9363636363636,86.7,88.2727272727273,6.25454545454545,2,"E ",NA,NA
"16",16,1986-06-20 07:00:00,24.2,31.0545454545455,27.0272727272727,21.1,89.7272727272727,5.81818181818182,2.66666666666667,"S ",NA,NA
"17",17,1986-07-01 07:00:00,23.5909090909091,31.7363636363636,26.9727272727273,84.9,87.4545454545455,7.6,2.9,"S ",NA,NA
"18",18,1986-07-12 07:00:00,23.4363636363636,31.9,26.8909090909091,28.7,86.9090909090909,6.79090909090909,3.1,"E ",NA,NA
"19",19,1986-07-23 07:00:00,23.0818181818182,31.0545454545455,26.4818181818182,41,87.6363636363636,6.4,2.55555555555556,"N ",NA,NA
"20",20,1986-08-03 07:00:00,22.6727272727273,30.9454545454545,26.2727272727273,15.6,85.9090909090909,6.78181818181818,2.27272727272727,"E ",NA,NA
"21",21,1986-08-14 07:00:00,22.9727272727273,31.6181818181818,26.8909090909091,3.63,84.6363636363636,7.07272727272727,3.54545454545455,"E ",NA,NA
