Nama Stasiun ,WMO ID,date,tmin,tmax,tave,humidity,precip,sunshine,wind_vel_mean,wind_dir,max_gust,max_gust_dir,precip_CP
Stasiun Meteorologi Rahadi Oesman,96615,1/8/1989,22.4,31.6,26.4,84,0,8,2,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,2/8/1989,22.8,32.2,26.9,82,15.8,8,2,SE,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,3/8/1989,22.6,31,26.5,84,0,6.7,9999,N ,9999,9999,65
Stasiun Meteorologi Rahadi Oesman,96615,4/8/1989,22.8,31.8,27.2,84,7.3,7.4,1,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,5/8/1989,22.4,31.4,26.4,81,0,7,9999,N ,9999,9999,3.2
Stasiun Meteorologi Rahadi Oesman,96615,6/8/1989,22.8,32,27.1,82,0.1,6.9,2,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,7/8/1989,22.4,31.8,26.9,83,0,7,9999,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,8/8/1989,23.8,31.8,27.4,88,0,5.1,9999,N ,9999,9999,6.2
Stasiun Meteorologi Rahadi Oesman,96615,9/8/1989,23.6,30.8,26.7,88,0.2,5.6,3,S ,9999,9999,5.4
Stasiun Meteorologi Rahadi Oesman,96615,10/8/1989,22.8,32.3,26.8,83,0,7.6,3,E ,9999,9999,30.4
Stasiun Meteorologi Rahadi Oesman,96615,11/8/1989,21.8,32.4,26.7,80,0,8,2,E ,9999,9999,15.3
Stasiun Meteorologi Rahadi Oesman,96615,12/8/1989,22.8,32.4,27.2,86,0,7.8,2,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,13/08/1989,23.8,31.4,27,90,10.5,4.1,3,E ,9999,9999,2.2
Stasiun Meteorologi Rahadi Oesman,96615,14/08/1989,22.2,29.6,25.1,90,8888,5.7,1,N ,9999,9999,23
Stasiun Meteorologi Rahadi Oesman,96615,15/08/1989,22.2,30.4,26,86,0,7.7,2,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,16/08/1989,22,31.8,26.3,84,0,7.5,3,SE,9999,9999,0
