Nama Stasiun ,WMO ID,date,tmin,tmax,tave,humidity,precip,sunshine,wind_vel_mean,wind_dir,max_gust,max_gust_dir
Stasiun Meteorologi Rahadi Oesman,96615,01/01/1986,24.3,30.6,26.9,89,9.6,4.7,9999,N ,3,70
Stasiun Meteorologi Rahadi Oesman,96615,02/01/1986,24.2,30,26.5,90,5.8,5.2,9999,N ,2,360
Stasiun Meteorologi Rahadi Oesman,96615,03/01/1986,24.4,29.2,26.2,91,2,3.5,1,N ,3,320
Stasiun Meteorologi Rahadi Oesman,96615,04/01/1986,23.8,29.4,26.3,91,8.6,4.3,1,N ,3,260
Stasiun Meteorologi Rahadi Oesman,96615,05/01/1986,24,29.6,26.3,90,5.4,4.1,2,N ,3,270
Stasiun Meteorologi Rahadi Oesman,96615,06/01/1986,24,29.6,26.4,89,15.5,7.4,1,N ,4,330
Stasiun Meteorologi Rahadi Oesman,96615,07/01/1986,24.2,30.4,26.5,96,18.8,3,2,N ,3,70
Stasiun Meteorologi Rahadi Oesman,96615,08/01/1986,23.4,30.8,26,95,0.6,4.6,2,E ,4,100
Stasiun Meteorologi Rahadi Oesman,96615,09/01/1986,23.8,29.7,25.2,96,30.7,2.2,1,N ,3,160
Stasiun Meteorologi Rahadi Oesman,96615,10/01/1986,23.8,27.2,24.7,95,49.9,0,9999,N ,6,230
Stasiun Meteorologi Rahadi Oesman,96615,11/01/1986,24,28,25.2,96,26.8,0,9999,N ,3,300
Stasiun Meteorologi Rahadi Oesman,96615,12/01/1986,24.2,27.6,26.1,88,13.7,0,5,W ,10,290
Stasiun Meteorologi Rahadi Oesman,96615,13/01/1986,24.6,29.8,26.8,90,0,7.8,4,NW,7,300
Stasiun Meteorologi Rahadi Oesman,96615,14/01/1986,25.6,29.2,27.3,88,0,4.5,5,NW,8,300
Stasiun Meteorologi Rahadi Oesman,96615,15/01/1986,26,29.6,27.4,88,0,4.2,5,NW,6,300
Stasiun Meteorologi Rahadi Oesman,96615,16/01/1986,26.2,28.5,27.1,88,0,0,5,NW,6,330
Stasiun Meteorologi Rahadi Oesman,96615,17/01/1986,25.8,30.4,27.1,88,1.4,7.4,4,NW,5,320
Stasiun Meteorologi Rahadi Oesman,96615,18/01/1986,24.4,28.6,26.7,88,0,2.1,4,NW,6,330
Stasiun Meteorologi Rahadi Oesman,96615,19/01/1986,25.4,29.3,26.8,87,0,5.4,4,NW,8,310
Stasiun Meteorologi Rahadi Oesman,96615,20/01/1986,24.8,29.6,26.9,86,0,8,5,NW,8,360
Stasiun Meteorologi Rahadi Oesman,96615,21/01/1986,25.6,29.6,27,88,0,7.7,3,NW,6,300
Stasiun Meteorologi Rahadi Oesman,96615,22/01/1986,25.6,28.4,26.6,88,0,3.6,5,NW,7,320
Stasiun Meteorologi Rahadi Oesman,96615,23/01/1986,25.8,29.6,27.2,88,0,6,4,NW,8,300
Stasiun Meteorologi Rahadi Oesman,96615,24/01/1986,25.4,29.8,26.9,89,0,8,4,NW,6,310
Stasiun Meteorologi Rahadi Oesman,96615,25/01/1986,25.6,29.2,26.8,90,0,6.6,4,NW,5,310
Stasiun Meteorologi Rahadi Oesman,96615,26/01/1986,25.6,29.8,27,88,0,8,4,W ,6,360
Stasiun Meteorologi Rahadi Oesman,96615,27/01/1986,25.4,30,27.2,88,8888,5.9,4,NW,7,360
Stasiun Meteorologi Rahadi Oesman,96615,28/01/1986,25.2,30.2,27.3,89,1.3,6.5,4,N ,8,290
Stasiun Meteorologi Rahadi Oesman,96615,29/01/1986,26,30,26.9,92,0,7.6,3,N ,5,310
Stasiun Meteorologi Rahadi Oesman,96615,30/01/1986,26,30,27.5,86,0,6.7,3,NW,6,350
Stasiun Meteorologi Rahadi Oesman,96615,31/01/1986,25.4,29.6,27.4,85,0,7.9,3,NW,5,260
Stasiun Meteorologi Rahadi Oesman,96615,01/02/1986,23.8,30.4,27.3,84,0,7.1,3,NW,6,320
Stasiun Meteorologi Rahadi Oesman,96615,02/02/1986,25.8,30,27.1,80,8888,6.3,5,NW,10,300
Stasiun Meteorologi Rahadi Oesman,96615,03/02/1986,23,30.6,26.3,86,0,8,2,NW,4,320
Stasiun Meteorologi Rahadi Oesman,96615,04/02/1986,22,30.6,26.3,87,0,7,2,NW,4,270
Stasiun Meteorologi Rahadi Oesman,96615,05/02/1986,22.8,30.2,26.4,90,0,8,2,NW,4,310
Stasiun Meteorologi Rahadi Oesman,96615,06/02/1986,23.4,30.6,26.9,89,3.8,8,2,W ,5,270
Stasiun Meteorologi Rahadi Oesman,96615,07/02/1986,24,30,26.7,90,0,4.8,2,W ,5,310
Stasiun Meteorologi Rahadi Oesman,96615,08/02/1986,23,30.8,26.9,89,14,7.7,2,N ,4,320
Stasiun Meteorologi Rahadi Oesman,96615,09/02/1986,24.2,31,27.1,91,9.1,8,3,NW,5,70
Stasiun Meteorologi Rahadi Oesman,96615,10/02/1986,24,29.8,26.5,92,3,5.4,4,NW,8,320
Stasiun Meteorologi Rahadi Oesman,96615,11/02/1986,24.4,29.8,25.9,92,8888,4.8,4,NW,8,310
Stasiun Meteorologi Rahadi Oesman,96615,12/02/1986,23.2,29.6,25.9,88,0,7.9,3,W ,5,290
Stasiun Meteorologi Rahadi Oesman,96615,13/02/1986,23.6,30.6,27.4,84,0,8,4,W ,8,260
Stasiun Meteorologi Rahadi Oesman,96615,14/02/1986,26,30.4,27.9,87,0,3.8,3,NW,6,300
Stasiun Meteorologi Rahadi Oesman,96615,15/02/1986,26.4,30.6,27.9,86,0,8,3,W ,6,280
Stasiun Meteorologi Rahadi Oesman,96615,16/02/1986,26,30.2,27.5,90,0,7.2,2,NW,4,300
Stasiun Meteorologi Rahadi Oesman,96615,17/02/1986,23,30.2,26.2,88,0,8,4,W ,8,250
Stasiun Meteorologi Rahadi Oesman,96615,18/02/1986,23,30.6,26.4,88,15.4,5.2,4,N ,4,280
Stasiun Meteorologi Rahadi Oesman,96615,19/02/1986,22,29.8,25.8,90,0,3.9,2,NW,4,320
Stasiun Meteorologi Rahadi Oesman,96615,20/02/1986,23.4,30.3,26.6,86,0,6.6,2,N ,5,330
Stasiun Meteorologi Rahadi Oesman,96615,21/02/1986,24,29.6,27.4,82,0,6,3,NW,6,280
Stasiun Meteorologi Rahadi Oesman,96615,22/02/1986,25.2,29.8,27,84,0,7,3,NW,6,320
Stasiun Meteorologi Rahadi Oesman,96615,23/02/1986,24,30.8,27.6,86,4,7.9,3,NW,5,360
Stasiun Meteorologi Rahadi Oesman,96615,24/02/1986,24,31.4,26.6,92,19.1,6.2,1,N ,3,330
Stasiun Meteorologi Rahadi Oesman,96615,25/02/1986,23.8,27.8,25.5,94,17.2,1,1,N ,4,340
Stasiun Meteorologi Rahadi Oesman,96615,26/02/1986,22.2,30.4,25.8,91,42,8,3,W ,6,300
Stasiun Meteorologi Rahadi Oesman,96615,27/02/1986,23.2,29.8,26.7,92,0,2.3,2,NW,4,310
Stasiun Meteorologi Rahadi Oesman,96615,28/02/1986,23.4,30.4,25.9,94,1.6,5.8,1,N ,3,310
Stasiun Meteorologi Rahadi Oesman,96615,01/03/1986,23,30.2,25.9,94,3.7,3.1,9999,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,02/03/1986,22.9,30.4,26.1,90,35.8,6.5,2,W ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,03/03/1986,22.8,30.2,25.2,90,0,4.6,2,NE,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,04/03/1986,23,30.2,26.2,88,0,7.5,2,W ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,05/03/1986,23.2,29.8,25.5,94,1.8,2.7,1,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,06/03/1986,22.8,29.8,25,96,3.8,2.3,2,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,07/03/1986,23,31,26.3,94,0.5,6.4,2,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,08/03/1986,23.4,29,25.3,95,2.2,1,9999,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,09/03/1986,23.4,30.6,26.4,90,1.8,4,2,SE,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,10/03/1986,23.4,30.2,26.3,92,38.9,4.2,9999,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,11/03/1986,23.4,28.8,24.6,93,21.4,3.4,9999,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,12/03/1986,23.6,30.2,26.7,91,7.4,5.6,1,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,13/03/1986,23.6,29.8,26,92,4.2,3.4,9999,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,14/03/1986,23.8,28.8,25.3,95,18.4,2.5,9999,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,15/03/1986,23.8,29.8,26,92,1.7,2.6,1,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,16/03/1986,24,29.4,26,93,5.7,2.6,1,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,17/03/1986,24.2,29.2,26.6,91,48.5,3.6,2,NW,9999,9999
