"","p10","start.date","tmin","tmax","tave","precip","humidity","sunshine","wind_vel","wind_dir","max_gust","max_gust_dir"
"1",1,1986-01-01 07:00:00,23.99,29.65,26.1,146.9,92.2,3.9,1.42857142857143,"N ",6,NA
"2",2,1986-01-11 07:00:00,25.1,29.06,26.74,41.9,88.7,3.94,4.55555555555556,"NW",10,290
"3",3,1986-01-21 07:00:00,25.62,29.66,27.04,1.44444444444444,88.6,6.66,3.8,"NW",8,300
"4",4,1986-01-31 07:00:00,23.74,30.38,26.84,29.8888888888889,87.1,7.28,2.6,"NW",10,300
"5",5,1986-02-10 07:00:00,24.16,30.16,26.74,20.4444444444444,88.5,6.22,3.3,"NW",8,320
"6",6,1986-02-20 07:00:00,23.62,30.05,26.5,87.6,89.5,5.39,2.11111111111111,"N ",6,280
"7",7,1986-03-02 07:00:00,23.13,30,25.69,106.2,92.2,4.26,1.85714285714286,"N ",NA,NA
"8",8,1986-03-12 07:00:00,23.68,29.64,26.15,125.777777777778,91.6,3.82,1.33333333333333,"N ",NA,NA
"9",9,1986-03-22 07:00:00,24.26,30.44,26.89,26.2,90.5,6,2,"W ",NA,NA
"10",10,1986-04-01 07:00:00,24.51,31.17,27.31,41.7,89.4,5.76,1.875,"N ",NA,NA
"11",11,1986-04-11 07:00:00,23.64,30.54,26.5,70.7,92,4.85,NA,"N ",NA,NA
"12",12,1986-04-21 07:00:00,24.35,31.33,27.09,178.666666666667,92.4,5.49,1.875,"N ",NA,NA
"13",13,1986-05-01 07:00:00,24.1,31.1,27.04,95.7,88.4,4.61,2.125,"N ",NA,NA
"14",14,1986-05-11 07:00:00,24.12,32.1,27.49,40.2222222222222,90.4,6.75,2.8,"E ",NA,NA
"15",15,1986-05-21 07:00:00,24.16,32.54,27.37,30.4444444444444,89.9,6.74,3.2,"E ",NA,NA
"16",16,1986-05-31 07:00:00,23.5,31.52,26.49,119,89.9,5.22,2,"E ",NA,NA
"17",17,1986-06-10 07:00:00,24.01,31.12,26.99,58.7,88.4,5.73,1.77777777777778,"N ",NA,NA
"18",18,1986-06-20 07:00:00,24.12,31.64,27.29,0,88.4,6.98,2.625,"S ",NA,NA
